FlightKey,ReceiveTime,FlightNo,RegNo,DepAirport,ArrAirport,SOBT,CraftType
2025-08-01_CBG8811_ZLXY_ZLYL,20250802011923,CBG8811,B32J1,ZLXY,ZLYL,202508011115,A320
2025-08-01_CBG8811_ZGNN_ZLXY,20250802011911,CBG8811,B32J1,ZGNN,ZLXY,202508010750,A320
2025-08-01_CBG8811_ZGNN_ZLXY,20250802004113,CBG8811,B32J1,ZGNN,ZLXY,202508010750,A320
2025-08-01_CBG8811_ZGNN_ZLXY,20250802002814,CBG8811,B32J1,ZGNN,ZLXY,202508010750,A320
2025-08-01_CBG8811_ZLXY_ZLYL,20250801124622,CBG8811,B32J1,ZLXY,ZLYL,202508011115,A320
2025-08-01_CBG8811_ZLXY_ZLYL,20250801124158,CBG8811,B32J1,ZLXY,ZLYL,202508011115,A320
2025-08-01_CBG8811_ZLXY_ZLYL,20250801123642,CBG8811,B32J1,ZLXY,ZLYL,202508011115,A320
2025-08-01_CBG8811_ZLXY_ZLYL,20250801121031,CBG8811,B32J1,ZLXY,ZLYL,202508011115,A320
2025-08-01_CBG8811_ZLXY_ZLYL,20250801114833,CBG8811,B32J1,ZLXY,ZLYL,202508011115,A320
2025-08-01_CBG8811_ZLXY_ZLYL,20250801112606,CBG8811,B32J1,ZLXY,ZLYL,202508011115,A320
2025-08-01_CBG8811_ZLXY_ZLYL,20250801111036,CBG8811,B32J1,ZLXY,ZLYL,202508011115,A320
2025-08-01_CBG8811_ZGNN_ZLXY,20250801103615,CBG8811,B32J1,ZGNN,ZLXY,202508010750,A320
2025-08-01_CBG8811_ZGNN_ZLXY,20250801101019,CBG8811,B32J1,ZGNN,ZLXY,202508010750,A320
2025-08-01_CBG8811_ZGNN_ZLXY,20250801090856,CBG8811,B32J1,ZGNN,ZLXY,202508010750,A320
2025-08-01_CBG8811_ZGNN_ZLXY,20250801081420,CBG8811,B32J1,ZGNN,ZLXY,202508010750,A320
2025-08-01_CBG8811_ZGNN_ZLXY,20250801075812,CBG8811,B32J1,ZGNN,ZLXY,202508010750,A320
2025-08-01_CBG8811_ZGNN_ZLXY,20250801074807,CBG8811,B32J1,ZGNN,ZLXY,202508010750,A320
2025-08-01_CBG8811_ZLXY_ZLYL,20250801073612,CBG8811,B32J1,ZLXY,ZLYL,202508011115,A320
2025-08-01_CBG8811_ZGNN_ZLXY,20250801040014,CBG8811,B32J1,ZGNN,ZLXY,202508010750,A320
2025-08-01_CBG8811_ZLXY_ZLYL,20250801003126,CBG8811,,ZLXY,ZLYL,202508011115,
2025-08-01_CBG8811_ZGNN_ZLXY,20250801003125,CBG8811,,ZGNN,ZLXY,202508010750,
2025-08-01_CBG8811_ZLXY_ZLYL,20250731185055,CBG8811,,ZLXY,ZLYL,202508011115,
2025-08-01_CBG8811_ZGNN_ZLXY,20250731185043,CBG8811,,ZGNN,ZLXY,202508010750,
2025-08-01_CBG8811_ZGNN_ZLXY,20250731183254,CBG8811,,ZGNN,ZLXY,202508010750,
2025-08-01_CBG8811_ZLXY_ZLYL,20250731182856,CBG8811,,ZLXY,ZLYL,202508011115,
2025-08-01_CBG8811_ZGNN_ZLXY,20250731001837,CBG8811,,ZGNN,ZLXY,202508010750,
2025-08-01_CBG8811_ZLXY_ZLYL,20250731001804,CBG8811,,ZLXY,ZLYL,202508011115,
2025-08-01_CBG8812_ZLYL_ZLXY,20250802012007,CBG8812,B32J1,ZLYL,ZLXY,202508011305,A320
2025-08-01_CBG8812_ZLXY_ZGNN,20250801180948,CBG8812,B32J1,ZLXY,ZGNN,202508011515,A320
