FlightKey,ReceiveTime,FlightNo,RegNo,CraftType,DepAirport,ArrAirport,FODC_ATOT
2025-08-24_CBG8811_ZLXY_ZLYL,20250825011850,CBG8811,B32J1,A320,ZLXY,ZLYL,202508241124
2025-08-24_CBG8811_ZGNN_ZLXY,20250825011713,CBG8811,B32J1,A320,ZGNN,ZLXY,202508240757
2025-08-24_CBG8811_ZLXY_ZLYL,20250824122814,CBG8811,B32J1,A320,ZLXY,ZLYL,202508241124
2025-08-24_CBG8811_ZLXY_ZLYL,20250824121755,CBG8811,B32J1,A320,ZLXY,ZLYL,202508241124
2025-08-24_CBG8811_ZLXY_ZLYL,20250824121235,CBG8811,B32J1,A320,ZLXY,ZLYL,202508241124
2025-08-24_CBG8811_ZLXY_ZLYL,20250824113146,CBG8811,B32J1,A320,ZLXY,ZLYL,202508241124
2025-08-24_CBG8811_ZGNN_ZLXY,20250824103245,CBG8811,B32J1,A320,ZGNN,ZLXY,202508240757
2025-08-24_CBG8811_ZGNN_ZLXY,20250824101832,CBG8811,B32J1,A320,ZGNN,ZLXY,202508240757
2025-08-24_CBG8811_ZGNN_ZLXY,20250824090543,CBG8811,B32J1,A320,ZGNN,ZLXY,202508240757
2025-08-24_CBG8811_ZGNN_ZLXY,20250824080553,CBG8811,B32J1,A320,ZGNN,ZLXY,202508240757
2025-08-24_CBG8812_ZLYL_ZLXY,20250825011033,CBG8812,B32J1,A320,ZLYL,ZLXY,202508241320
2025-08-24_CBG8812_ZLXY_ZGNN,20250824180628,CBG8812,B32J1,A320,ZLXY,ZGNN,202508241535
2025-08-24_CBG8812_ZLXY_ZGNN,20250824180153,CBG8812,B32J1,A320,ZLXY,ZGNN,202508241535
2025-08-24_CBG8812_ZLXY_ZGNN,20250824175612,CBG8812,B32J1,A320,ZLXY,ZGNN,202508241535
2025-08-24_CBG8812_ZLXY_ZGNN,20250824160633,CBG8812,B32J1,A320,ZLXY,ZGNN,202508241535
2025-08-24_CBG8812_ZLXY_ZGNN,20250824154901,CBG8812,B32J1,A320,ZLXY,ZGNN,202508241535
2025-08-24_CBG8812_ZLXY_ZGNN,20250824154033,CBG8812,B32J1,A320,ZLXY,ZGNN,202508241535
2025-08-24_CBG8812_ZLYL_ZLXY,20250824144404,CBG8812,B32J1,A320,ZLYL,ZLXY,202508241320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824143428,CBG8812,B32J1,A320,ZLYL,ZLXY,202508241320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824142408,CBG8812,B32J1,A320,ZLYL,ZLXY,202508241320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824140618,CBG8812,B32J1,A320,ZLYL,ZLXY,202508241320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824133420,CBG8812,B32J1,A320,ZLYL,ZLXY,202508241320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824132829,CBG8812,B32J1,A320,ZLYL,ZLXY,202508241320
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824184353,CBJ5035,B6402,A319,ZGCZ,ZLXY,202508241630
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824183752,CBJ5035,B6402,A319,ZGCZ,ZLXY,202508241630
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824182424,CBJ5035,B6402,A319,ZGCZ,ZLXY,202508241630
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824181804,CBJ5035,B6402,A319,ZGCZ,ZLXY,202508241630
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824170746,CBJ5035,B6402,A319,ZGCZ,ZLXY,202508241630
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824165208,CBJ5035,B6402,A319,ZGCZ,ZLXY,202508241630
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824164609,CBJ5035,B6402,A319,ZGCZ,ZLXY,202508241630
2025-08-24_CBJ5035_ZJHK_ZGCZ,20250824164604,CBJ5035,B6402,A319,ZJHK,ZGCZ,202508241438
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824163612,CBJ5035,B6402,A319,ZGCZ,ZLXY,202508241630
2025-08-24_CBJ5035_ZJHK_ZGCZ,20250824155403,CBJ5035,B6402,A319,ZJHK,ZGCZ,202508241438
2025-08-24_CBJ5035_ZJHK_ZGCZ,20250824153530,CBJ5035,B6402,A319,ZJHK,ZGCZ,202508241438
2025-08-24_CBJ5035_ZJHK_ZGCZ,20250824152545,CBJ5035,B6402,A319,ZJHK,ZGCZ,202508241438
2025-08-24_CBJ5035_ZJHK_ZGCZ,20250824145352,CBJ5035,B6402,A319,ZJHK,ZGCZ,202508241438
2025-08-24_CBJ5036_ZGCZ_ZJHK,20250825011231,CBJ5036,B6958,A320,ZGCZ,ZJHK,202508240944
2025-08-24_CBJ5036_ZLXY_ZGCZ,20250825011135,CBJ5036,B6958,A320,ZLXY,ZGCZ,202508240652
2025-08-24_CBJ5036_ZLXY_ZGCZ,20250825003540,CBJ5036,B6958,A320,ZLXY,ZGCZ,202508240652
2025-08-24_CBJ5036_ZLXY_ZGCZ,20250825003236,CBJ5036,B6958,A320,ZLXY,ZGCZ,202508240652
2025-08-24_CBJ5036_ZGCZ_ZJHK,20250824120722,CBJ5036,B6958,A320,ZGCZ,ZJHK,202508240944
2025-08-24_CBJ5036_ZGCZ_ZJHK,20250824114843,CBJ5036,B6958,A320,ZGCZ,ZJHK,202508240944
2025-08-24_CBJ5036_ZGCZ_ZJHK,20250824113155,CBJ5036,B6958,A320,ZGCZ,ZJHK,202508240944
2025-08-24_CBJ5036_ZGCZ_ZJHK,20250824100728,CBJ5036,B6958,A320,ZGCZ,ZJHK,202508240944
2025-08-24_CBJ5036_ZGCZ_ZJHK,20250824100217,CBJ5036,B6958,A320,ZGCZ,ZJHK,202508240944
2025-08-24_CBJ5036_ZGCZ_ZJHK,20250824095631,CBJ5036,B6958,A320,ZGCZ,ZJHK,202508240944
2025-08-24_CBJ5036_ZLXY_ZGCZ,20250824095630,CBJ5036,B6958,A320,ZLXY,ZGCZ,202508240652
2025-08-24_CBJ5036_ZGCZ_ZJHK,20250824095210,CBJ5036,B6958,A320,ZGCZ,ZJHK,202508240944
2025-08-24_CBJ5036_ZLXY_ZGCZ,20250824095209,CBJ5036,B6958,A320,ZLXY,ZGCZ,202508240652
2025-08-24_CBJ5036_ZLXY_ZGCZ,20250824092527,CBJ5036,B6958,A320,ZLXY,ZGCZ,202508240652
2025-08-24_CBJ5036_ZLXY_ZGCZ,20250824085259,CBJ5036,B6958,A320,ZLXY,ZGCZ,202508240652
2025-08-24_CBJ5036_ZLXY_ZGCZ,20250824070821,CBJ5036,B6958,A320,ZLXY,ZGCZ,202508240652
2025-08-24_CBJ5036_ZLXY_ZGCZ,20250824070243,CBJ5036,B6958,A320,ZLXY,ZGCZ,202508240652
2025-08-24_CBJ5055_ZLXY_ZWYN,20250825011653,CBJ5055,B1246,A20N,ZLXY,ZWYN,202508240840
2025-08-24_CBJ5055_ZLXY_ZWYN,20250825002432,CBJ5055,B1246,A20N,ZLXY,ZWYN,202508240840
2025-08-24_CBJ5055_ZLXY_ZWYN,20250825001355,CBJ5055,B1246,A20N,ZLXY,ZWYN,202508240840
2025-08-24_CBJ5055_ZLXY_ZWYN,20250824132815,CBJ5055,B1246,A20N,ZLXY,ZWYN,202508240840
2025-08-24_CBJ5055_ZLXY_ZWYN,20250824131607,CBJ5055,B1246,A20N,ZLXY,ZWYN,202508240840
2025-08-24_CBJ5055_ZLXY_ZWYN,20250824131113,CBJ5055,B1246,A20N,ZLXY,ZWYN,202508240840
2025-08-24_CBJ5055_ZLXY_ZWYN,20250824130608,CBJ5055,B1246,A20N,ZLXY,ZWYN,202508240840
2025-08-24_CBJ5055_ZLXY_ZWYN,20250824130136,CBJ5055,B1246,A20N,ZLXY,ZWYN,202508240840
2025-08-24_CBJ5055_ZLXY_ZWYN,20250824125216,CBJ5055,B1246,A20N,ZLXY,ZWYN,202508240840
2025-08-24_CBJ5055_ZLXY_ZWYN,20250824090539,CBJ5055,B1246,A20N,ZLXY,ZWYN,202508240840
2025-08-24_CBJ5055_ZLXY_ZWYN,20250824084810,CBJ5055,B1246,A20N,ZLXY,ZWYN,202508240840
2025-08-24_CBJ5056_ZWYN_ZLXY,20250824175625,CBJ5056,B1246,A20N,ZWYN,ZLXY,202508241410
2025-08-24_CBJ5056_ZWYN_ZLXY,20250824173938,CBJ5056,B1246,A20N,ZWYN,ZLXY,202508241410
2025-08-24_CBJ5056_ZWYN_ZLXY,20250824151033,CBJ5056,B1246,A20N,ZWYN,ZLXY,202508241410
2025-08-24_CBJ5056_ZWYN_ZLXY,20250824141821,CBJ5056,B1246,A20N,ZWYN,ZLXY,202508241410
2025-08-24_CBJ5077_ZLXY_ZUCK,20250825011828,CBJ5077,B8200,A321,ZLXY,ZUCK,202508240832
2025-08-24_CBJ5077_ZLXY_ZUCK,20250824100159,CBJ5077,B8200,A321,ZLXY,ZUCK,202508240832
2025-08-24_CBJ5077_ZLXY_ZUCK,20250824095203,CBJ5077,B8200,A321,ZLXY,ZUCK,202508240832
2025-08-24_CBJ5077_ZLXY_ZUCK,20250824090558,CBJ5077,B8200,A321,ZLXY,ZUCK,202508240832
2025-08-24_CBJ5077_ZLXY_ZUCK,20250824084155,CBJ5077,B8200,A321,ZLXY,ZUCK,202508240832
2025-08-24_CBJ5078_ZUCK_ZLXY,20250825011629,CBJ5078,B8200,A321,ZUCK,ZLXY,202508241051
2025-08-24_CBJ5078_ZUCK_ZLXY,20250824122203,CBJ5078,B8200,A321,ZUCK,ZLXY,202508241051
2025-08-24_CBJ5078_ZUCK_ZLXY,20250824121745,CBJ5078,B8200,A321,ZUCK,ZLXY,202508241051
2025-08-24_CBJ5078_ZUCK_ZLXY,20250824120735,CBJ5078,B8200,A321,ZUCK,ZLXY,202508241051
