FlightKey,ReceiveTime,FlightNo,RegNo,DepAirport,ArrAirport,SOBT,CraftType
2025-07-30_CBG8811_ZGNN_ZLXY,20250731012042,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZLXY_ZLYL,20250731011623,CBG8811,B32J1,ZLXY,ZLYL,202507301115,A320
2025-07-30_CBG8811_ZGNN_ZLXY,20250731004143,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZGNN_ZLXY,20250731003126,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZLXY_ZLYL,20250730173130,CBG8811,B32J1,ZLXY,ZLYL,202507301115,A320
2025-07-30_CBG8811_ZLXY_ZLYL,20250730172534,CBG8811,B32J1,ZLXY,ZLYL,202507301115,A320
2025-07-30_CBG8811_ZGNN_ZLXY,20250730103326,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZGNN_ZLXY,20250730102938,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZGNN_ZLXY,20250730101100,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZGNN_ZLXY,20250730090629,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZGNN_ZLXY,20250730081001,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZLXY_ZLYL,20250730075734,CBG8811,B32J1,ZLXY,ZLYL,202507301115,A320
2025-07-30_CBG8811_ZGNN_ZLXY,20250730075734,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZLXY_ZLYL,20250730075323,CBG8811,B32J1,ZLXY,ZLYL,202507301115,A320
2025-07-30_CBG8811_ZGNN_ZLXY,20250730074603,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZGNN_ZLXY,20250730062549,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZLXY_ZLYL,20250730034949,CBG8811,,ZLXY,ZLYL,202507301115,
2025-07-30_CBG8811_ZGNN_ZLXY,20250730034948,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZGNN_ZLXY,20250730034533,CBG8811,B32J1,ZGNN,ZLXY,202507300750,A320
2025-07-30_CBG8811_ZGNN_ZLXY,20250730032538,CBG8811,,ZGNN,ZLXY,202507300750,
2025-07-30_CBG8811_ZGNN_ZLXY,20250730003426,CBG8811,,ZGNN,ZLXY,202507300750,
2025-07-30_CBG8811_ZLXY_ZLYL,20250730003406,CBG8811,,ZLXY,ZLYL,202507301115,
2025-07-30_CBG8811_ZLXY_ZLYL,20250729183749,CBG8811,,ZLXY,ZLYL,202507301115,
2025-07-30_CBG8811_ZGNN_ZLXY,20250729183736,CBG8811,,ZGNN,ZLXY,202507300750,
2025-07-30_CBG8811_ZLXY_ZLYL,20250729002543,CBG8811,,ZLXY,ZLYL,202507301115,
2025-07-30_CBG8811_ZGNN_ZLXY,20250729002517,CBG8811,,ZGNN,ZLXY,202507300750,
