FlightKey,ReceiveTime,MessageType,FlightNo,New_FlightNo,CraftType,New_CraftType,RegNo,New_RegNo,DepAirport,ArrAirport,New_Destination,New_Alternate_1,New_Alternate_2,New_Departure_Time,New_Route,New_Mission_STS,RawMessage
2025-07-30_CSC3266_ZWSH_ZLXY,2025-07-29 21:54:37,FPL,CSC3266,,A20N,,B30E0,,ZWSH,ZLXY,,,,,,,"(FPL-CSC3266-IS
-A20N/M-SDE1E2E3FGHIM3RWY/EB1
-ZWSH0400
-K0780S1010 KHG W176 MAGIV W187 KARVI W191 DNC W565 BIGUX/K0807S0810
 
W214 HO
-ZLXY0330 ZLIC ZBYN
-PBN/A1B1C1D1L1O1S2T1 DOF/250730 REG/B30E0 EET/ZLHW0132 SEL/BRCS
 CODE/7818DE 
OPR/SICHUAN AIRLINES RALT/ZLDH ZLXY ZWSH RMK/ACAS II CAT II)"
2025-07-30_CES2795_ZSNJ_ZLXY,2025-07-29 23:23:24,FPL,CES2795,,A20N,,B32J9,,ZSNJ,ZLXY,,,,,,,"(FPL-CES2795-IS
-A20N/M-SDE1E2E3FGHIM1RWY/LB1
-ZSNJ0015
-K0896S0780 SUNBO W163 HFE B208 ZHO H14 SHX
-ZLXY0131 ZLHZ
-PBN/A1B1C1D1L1O1S2 SUR/260B DOF/250730 REG/B32J9 EET/ZHWH0030
 ZLHW0107 
SEL/DMAS CODE/782198 RMK/TCAS II CAT II APPROVED)"
2025-07-30_CSC3266_ZWSH_ZLXY,2025-07-29 23:24:25,FPL,CSC3266,,A20N,,B30E0,,ZWSH,ZLXY,,,,,,,"(FPL-CSC3266-IS
-A20N/M-SDE1E2E3FGHIM3RWY/EB1
-ZWSH0555
-K0780S1010 KHG W176 MAGIV W187 KARVI W191 DNC W565 BIGUX/K0807S0810
 
W214 HO
-ZLXY0330 ZLIC ZBYN
-PBN/A1B1C1D1L1O1S2T1 DOF/250730 REG/B30E0 EET/ZLHW0132 SEL/BRCS
 CODE/7818DE 
OPR/SICHUAN AIRLINES RALT/ZLDH ZLXY ZWSH RMK/ACAS II CAT II)"
2025-07-30_CSC3265_ZLXY_ZWSH,2025-07-29 23:24:43,FPL,CSC3265,,A20N,,B30E0,,ZLXY,ZWSH,,,,,,,"(FPL-CSC3265-IS
-A20N/M-SDE1E2E3FGHIM3RWY/EB1
-ZLXY0045
-K0780S1040 TEBIB W541 OVKAB W94 XFG/K0865S0980 W213 APESU W197 
ANDIM B215 NIXUK W621 DNH W187 SADAN/K0759S0660 W186 AKS W176 KHG
-ZWSH0410 ZWSC ZWKC
-PBN/A1B1C1D1L1O1S2T1 DOF/250730 REG/B30E0 EET/ZWUQ0215 SEL/BRCS
 CODE/7818DE 
OPR/SICHUAN AIRLINES RALT/ZLXY ZLDH ZWSH RMK/ACAS II)"
2025-07-30_CES2269_ZLXY_ZGSZ,2025-07-30 01:07:48,FPL,CES2269,,A21N,,B32LT,,ZLXY,ZGSZ,,,,,,,"(FPL-CES2269-IS
-A21N/M-SDE1E2E3FGHIM1RWY/LB1
-ZLXY0045
-K0861S0920 NSH W30 TAMUS W180 BONSA/K0857S0890 W180 LIDMA W182 
LAGEX G586 SJG B330 POU W7 SAREX
-ZGSZ0216 ZGGG
-PBN/A1B1C1D1L1O1S2 SUR/260B DOF/250730 REG/B32LT EET/ZPKM0023
 ZGZU0117 
SEL/FMBL CODE/782242 RMK/TCAS II CAT II APPROVED)"
2025-07-30_CQH7002_ZLXY_ZSCN,2025-07-30 02:16:56,FPL,CQH7002,,A20N,,B32FM,,ZLXY,ZSCN,,,,,,,"(FPL-CQH7002-IS
-A20N/M-SDE3FGHIM3RWYZ/LB1
-ZLXY2300
-K0850S0890 P241 H132 P234 H36 SNF W269 OLPOV B213 WHA R343 SAGUD
 W50 XSH W105 PEXEK
-ZSCN0141 ZGHA ZHHH
-PBN/A1B1C1D1L1O1 NAV/RNP2 REG/B32FM EET/ZHWH0030 ZSHA0128 SEL/CRBQ
 CODE/781FF0 RMK/TCAS ADSB AND FOREIGN PILOT ON BOARD
)"
2025-07-30_CQH7002_ZLXY_ZSCN,2025-07-30 02:17:03,FPL,CQH7002,,A20N,,B32FM,,ZLXY,ZSCN,,,,,,,"(FPL-CQH7002-IS
-A20N/M-SDE3FGHIM3RWYZ/LB1
-ZLXY2300
-K0850S0890 P241 H132 P234 H36 SNF W269 OLPOV B213 WHA R343 SAGUD 
W50 XSH W105 PEXEK
-ZSCN0141 ZGHA ZHHH
-PBN/A1B1C1D1L1O1 NAV/RNP2 REG/B32FM EET/ZHWH0030 ZSHA0128 SEL/CRBQ 
CODE/781FF0 RMK/TCAS ADSB AND FOREIGN PILOT ON BOARD)"
2025-07-30_TBA6031_ZLXY_ZPLJ,2025-07-30 03:54:18,FPL,TBA6031,,A19N,,B32FF,,ZLXY,ZPLJ,,,,,,,"(FPL-TBA6031-IS
-A19N/M-SDE1E2E3GHIM1RWY/LB2
-ZLXY2325
-K0780S0980 NSH W30 HX H89 P570 H158 P513
-ZPLJ0230 ZUYB ZPPP
-PBN/B1C1D1L1O2S2T1 NAV/ABAS REG/B32FF
 EET/ZPKM0035 SEL/AQKL  CODE/781FD5
 RMK/ACASII AND CATII )"
2025-07-30_TBA6031_ZLXY_ZPLJ,2025-07-30 03:54:25,FPL,TBA6031,,A19N,,B32FF,,ZLXY,ZPLJ,,,,,,,"(FPL-TBA6031-IS
-A19N/M-SDE1E2E3GHIM1RWY/LB2
-ZLXY2325
-K0780S0980 NSH W30 HX H89 P570 H158 P513
-ZPLJ0230 ZUYB ZPPP
-PBN/B1C1D1L1O2S2T1 NAV/ABAS REG/B32FF EET/ZPKM0035 SEL/AQKL
 CODE/781FD5 
RMK/ACASII AND CATII)"
2025-07-30_VHSGA_ZLXY_ZGDY,2025-07-30 05:12:48,FPL,VHSGA,,GLF6,,VHSGA,,ZLXY,ZGDY,,,,,,,"(FPL-VHSGA-IG
-GLF6/M-SBDE2E3FGHIJ1J4J5M1P2RWXYZ/LB1D1
-ZLXY0400
-K0950S1160 NSH W30 TAMUS/K0955S1130 W180 IVSOL/K0949S1160 W180 
BONSA/K0953S1130 W180 MEMAG A581 HUY W140 DYG
-ZGDY0130 ZUUU
-PBN/A1B1C1D1L1O1S2 NAV/RNP2 DAT/1FANS2PDC SUR/260BRSP180 DOF/250730
 
REG/VHSGA EET/ZPKM0023 ZGZU0113 SEL/JKGR CODE/7C5BF8 OPR/SG AVIATION
 
ORGN/EKODFFLX PER/C RMK/TCAS 7 1)"
