FlightKey,ReceiveTime,FlightNo,RegNo,CraftType,DepAirport,ArrAirport,FODC_ATOT
2025-08-01_CBG8811_ZLXY_ZLYL,20250802011923,CBG8811,B32J1,A320,ZLXY,ZLYL,202508011139
2025-08-01_CBG8811_ZGNN_ZLXY,20250802011911,CBG8811,B32J1,A320,ZGNN,ZLXY,202508010804
2025-08-01_CBG8811_ZGNN_ZLXY,20250802004113,CBG8811,B32J1,A320,ZGNN,ZLXY,202508010804
2025-08-01_CBG8811_ZGNN_ZLXY,20250802002814,CBG8811,B32J1,A320,ZGNN,ZLXY,202508010804
2025-08-01_CBG8811_ZLXY_ZLYL,20250801124622,CBG8811,B32J1,A320,ZLXY,ZLYL,202508011139
2025-08-01_CBG8811_ZLXY_ZLYL,20250801124158,CBG8811,B32J1,A320,ZLXY,ZLYL,202508011139
2025-08-01_CBG8811_ZLXY_ZLYL,20250801123642,CBG8811,B32J1,A320,ZLXY,ZLYL,202508011139
2025-08-01_CBG8811_ZLXY_ZLYL,20250801121031,CBG8811,B32J1,A320,ZLXY,ZLYL,202508011139
2025-08-01_CBG8811_ZLXY_ZLYL,20250801114833,CBG8811,B32J1,A320,ZLXY,ZLYL,202508011139
2025-08-01_CBG8811_ZGNN_ZLXY,20250801103615,CBG8811,B32J1,A320,ZGNN,ZLXY,202508010804
2025-08-01_CBG8811_ZGNN_ZLXY,20250801101019,CBG8811,B32J1,A320,ZGNN,ZLXY,202508010804
2025-08-01_CBG8811_ZGNN_ZLXY,20250801090856,CBG8811,B32J1,A320,ZGNN,ZLXY,202508010804
2025-08-01_CBG8811_ZGNN_ZLXY,20250801081420,CBG8811,B32J1,A320,ZGNN,ZLXY,202508010804
2025-08-01_CBG8812_ZLYL_ZLXY,20250802012007,CBG8812,B32J1,A320,ZLYL,ZLXY,202508011325
2025-08-01_CBG8812_ZLXY_ZGNN,20250801180948,CBG8812,B32J1,A320,ZLXY,ZGNN,202508011545
2025-08-01_CBG8812_ZLXY_ZGNN,20250801180548,CBG8812,B32J1,A320,ZLXY,ZGNN,202508011545
2025-08-01_CBG8812_ZLXY_ZGNN,20250801175746,CBG8812,B32J1,A320,ZLXY,ZGNN,202508011545
2025-08-01_CBG8812_ZLXY_ZGNN,20250801160532,CBG8812,B32J1,A320,ZLXY,ZGNN,202508011545
2025-08-01_CBG8812_ZLXY_ZGNN,20250801155420,CBG8812,B32J1,A320,ZLXY,ZGNN,202508011545
2025-08-01_CBG8812_ZLXY_ZGNN,20250801154945,CBG8812,B32J1,A320,ZLXY,ZGNN,202508011545
2025-08-01_CBG8812_ZLYL_ZLXY,20250801145234,CBG8812,B32J1,A320,ZLYL,ZLXY,202508011325
2025-08-01_CBG8812_ZLYL_ZLXY,20250801144638,CBG8812,B32J1,A320,ZLYL,ZLXY,202508011325
2025-08-01_CBG8812_ZLYL_ZLXY,20250801143227,CBG8812,B32J1,A320,ZLYL,ZLXY,202508011325
2025-08-01_CBG8812_ZLYL_ZLXY,20250801142646,CBG8812,B32J1,A320,ZLYL,ZLXY,202508011325
