FlightKey,ReceiveTime,MessageType,FlightNo,New_FlightNo,CraftType,New_CraftType,RegNo,New_RegNo,DepAirport,ArrAirport,New_Destination,New_Alternate_1,New_Alternate_2,New_Departure_Time,New_Route,New_Mission_STS,RawMessage
2025-08-24_CSC3288_ZUNZ_ZLXY,2025-08-23 22:06:19,CHG,CSC3288,,,,,B6410,ZUNZ,ZLXY,ZLXY,ZBYN,ZBDS,,,,"(CHG-CSC3288-ZUNZ0155-ZLXY-DOF/250824
-16/ZLXY0220 ZBYN ZBDS
-18/PBN/A1B1C1D1L1O1S2T1 DOF/250824 REG/B6410 EET/ZLHW0147 SEL/BEFL
 CODE/7805D0 
OPR/SICHUAN AIRLINES RALT/ZUNZ ZLXY RMK/ACAS II CAT II)"
2025-08-24_CSC3349_ZYHB_ZLXY,2025-08-23 22:07:00,CHG,CSC3349,,,,,,ZYHB,ZLXY,ZLXY,ZBYN,ZBDS,,,,"(CHG-CSC3349-ZYHB0010-ZLXY-DOF/250824
-16/ZLXY0310 ZBYN ZBDS)"
2025-08-24_CSC3260_ZSJN_ZLXY,2025-08-23 22:41:57,CHG,CSC3260,,,,,,ZSJN,ZLXY,ZLXY,ZBYN,ZBDS,,,,"(CHG-CSC3260-ZSJN0225-ZLXY-DOF/250824
-16/ZLXY0120 ZBYN ZBDS)"
2025-08-24_CSC3272_ZGSZ_ZLXY,2025-08-23 22:51:40,CHG,CSC3272,,,,,,ZGSZ,ZLXY,ZLXY,ZBYN,ZBDS,,,,"(CHG-CSC3272-ZGSZ0250-ZLXY-DOF/250824
-16/ZLXY0210 ZBYN ZBDS)"
2025-08-24_KAL811_RKSI_ZLXY,2025-08-24 02:42:38,FPL,KAL811,,333,,HL7585,,RKSI,ZLXY,,,,,,,"(FPL-KAL811-IS
-A333/H-SDE2FGHIJ3J5M1P2RWXYZ/LB1D1
-RKSI0010
-K0898S1040 DCT NOPIK Y697 AGAVO/K0898S1040 A591 IKEKA W4 HCH W200 
DOVIV W55 PAMRU W34 VYK B215 GODON W43 GUTRU W47 LOVRA
-ZLXY0231 ZHCC
-PBN/A1B1C1D1L1O1S2 DAT/1FANS CPDLCX SUR/RSP180 DOF/250824
 REG/HL7585 
EET/ZSHA0023 ZBPE0053 ZLHW0155 SEL/FQLM CODE/71BD85 RMK/TCAS II
 EQUIPPED)"
2025-08-24_CBJ5077_ZLXY_ZUCK,2025-08-24 03:43:21,FPL,CBJ5077,,321,,B8200,,ZLXY,ZUCK,,,,,,,"(FPL-CBJ5077-IS
-A321/M-SDE1E2E3FGHIM3RWYZ/LB1
-ZLXY0005
-M078S0780 NSH W30 DADIR W666 VINEX
-ZUCK0115 ZUTF ZUDA
-PBN/A1B1C1D1L1O2S2 NAV/ABAS RNP2 DOF/250824 REG/B8200 EET/ZPKM0034 
SEL/HJEG CODE/780EC5 OPR/BEIJING CAPITAL AIRLINES RMK/ACAS II AND 
CATII OPERATION)"
2025-08-24_CES2126_ZHHH_ZLXY,2025-08-24 04:57:11,FPL,CES2126,,320NEO,,B323A,,ZHHH,ZLXY,,,,,,,"(FPL-CES2126-IS
-A20N/M-SDE1E2E3FGHIM3RWY/LB1
-ZHHH0115
-K0890S0890 BENBI W56 P129/K0881S0920 H14 SHX
-ZLXY0116 ZLYL
-PBN/A1B1C1D1L1O1S2 SUR/260B DOF/250824 REG/B323A EET/ZLHW0054
 SEL/CRAP 
CODE/781B64 RMK/TCAS II CAT II APPROVED)"
2025-08-24_CES2282_ZSYW_ZLXY,2025-08-24 05:32:23,FPL,CES2282,,320,,B6375,,ZSYW,ZLXY,,,,,,,"(FPL-CES2282-IS
-A320/M-SDE1E2E3FGHIM3RWY/LB1
-ZSYW0145
-K0877S0920 UGAGO G204 ABVIL H24 ISNIR H161 P366 H165 P392 H17 
JDZ H2 HFE B208 ZHO H14 SHX
-ZLXY0159 ZLYL
-PBN/A1B1C1D1L1O1S2 SUR/260 DOF/250824 REG/B6375 EET/ZHWH0056
 ZLHW0133 
SEL/LQDS CODE/7804AD RMK/TCAS II CAT II APPROVED)"
2025-08-24_AAR347_RKSI_ZLXY,2025-08-24 05:38:36,FPL,AAR347,,321NEO,,HL8364,,RKSI,ZLXY,,,,,,,"(FPL-AAR347-IS
-A21N/M-SDE2E3FGHIJ3J7M3P2RWXYZ/LB1D1
-RKSI0100
-K0869S0980 BINIL2H BINIL Y697 AGAVO/K0869S0980 A591 IKEKA W4 HCH 
W200 DOVIV/K0863S1040 W55 PAMRU W34 VYK B215 GODON W43 GUTRU W47 
LOVRA
-ZLXY0236 ZUCK
-PBN/A1B1C1D1L1O1S2 DAT/1FANSP SUR/RSP180 260B DOF/250824 REG/HL8364
 
EET/ZSHA0022 ZBPE0053 ZLHW0158 SEL/ABFS CODE/71C364 OPR/AAR PER/C 
RMK/TCAS II EQUIPPED)"
2025-08-24_AAR348_ZLXY_RKSI,2025-08-24 05:39:06,FPL,AAR348,,321NEO,,HL8364,,ZLXY,RKSI,,,,,,,"(FPL-AAR348-IS                                                      
-A21N/M-SDE2E3FGHIJ3J7M3P2RWXYZ/LB1D1                               
-ZLXY0510                                                           
-K0861S1010 WJC G212 VYK W34 VAPGU W100 ORAVA W201 UNSEK A326       
 ALARA/K0866S0810 A326 SANKO/K0877S0810 A326 DONVO G597             
 AGAVO/N0446F250 Y644 REBIT REBIT2H                                 
-RKSI0219 RKSS                                                      
-PBN/A1B1C1D1L1O1S2 DAT/1FANSP SUR/RSP180 260B DOF/250824           
 REG/HL8364 EET/ZBPE0024 ZYSH0121 ZSHA0136 RKRR0149 SEL/ABFS        
 CODE/71C364 OPR/AAR PER/C RMK/TCAS II EQUIPPED)"
